company_name,nse_symbol,raw_industry,sector,index_source,screener_url
360 ONE WAM Ltd.,360ONE,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/360ONE/consolidated/
3M India Ltd.,3MINDIA,Diversified,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/3MINDIA/consolidated/
ACC Ltd.,ACC,Construction Materials,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/ACC/consolidated/
AIA Engineering Ltd.,AIAENG,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/AIAENG/consolidated/
APL Apollo Tubes Ltd.,APLAPOLLO,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/APLAPOLLO/consolidated/
AU Small Finance Bank Ltd.,AUBANK,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/AUBANK/consolidated/
AWL Agri Business Ltd.,AWL,Fast Moving Consumer Goods,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/AWL/consolidated/
Abbott India Ltd.,ABBOTINDIA,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/ABBOTINDIA/consolidated/
Adani Total Gas Ltd.,ATGL,Oil Gas & Consumable Fuels,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/ATGL/consolidated/
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/ABCAPITAL/consolidated/
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/AJANTPHARM/consolidated/
Alkem Laboratories Ltd.,ALKEM,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/ALKEM/consolidated/
Anthem Biosciences Ltd.,ANTHEM,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/ANTHEM/consolidated/
Apar Industries Ltd.,APARINDS,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/APARINDS/consolidated/
Apollo Tyres Ltd.,APOLLOTYRE,Automobile and Auto Components,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/APOLLOTYRE/consolidated/
Ashok Leyland Ltd.,ASHOKLEY,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/ASHOKLEY/consolidated/
Astral Ltd.,ASTRAL,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/ASTRAL/consolidated/
Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/AUROPHARMA/consolidated/
Authum Investment & Infrastructure Ltd.,AIIL,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/AIIL/consolidated/
BSE Ltd.,BSE,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/BSE/consolidated/
Bajaj Housing Finance Ltd.,BAJAJHFL,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/BAJAJHFL/consolidated/
Balkrishna Industries Ltd.,BALKRISIND,Automobile and Auto Components,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/BALKRISIND/consolidated/
Bank of India,BANKINDIA,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/BANKINDIA/consolidated/
Bank of Maharashtra,MAHABANK,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/MAHABANK/consolidated/
Berger Paints India Ltd.,BERGEPAINT,Consumer Durables,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/BERGEPAINT/consolidated/
Bharat Dynamics Ltd.,BDL,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/BDL/consolidated/
Bharat Forge Ltd.,BHARATFORG,Automobile and Auto Components,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/BHARATFORG/consolidated/
Bharat Heavy Electricals Ltd.,BHEL,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/BHEL/consolidated/
Bharti Hexacom Ltd.,BHARTIHEXA,Telecommunication,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/BHARTIHEXA/consolidated/
Billionbrains Garage Ventures Ltd.,GROWW,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/GROWW/consolidated/
Biocon Ltd.,BIOCON,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/BIOCON/consolidated/
Blue Star Ltd.,BLUESTARCO,Consumer Durables,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/BLUESTARCO/consolidated/
CRISIL Ltd.,CRISIL,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/CRISIL/consolidated/
Cochin Shipyard Ltd.,COCHINSHIP,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/COCHINSHIP/consolidated/
Coforge Ltd.,COFORGE,Information Technology,IT,NIFTY_MIDCAP_150,https://www.screener.in/company/COFORGE/consolidated/
Colgate Palmolive (India) Ltd.,COLPAL,Fast Moving Consumer Goods,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/COLPAL/consolidated/
Container Corporation of India Ltd.,CONCOR,Services,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/CONCOR/consolidated/
Coromandel International Ltd.,COROMANDEL,Chemicals,Chemicals,NIFTY_MIDCAP_150,https://www.screener.in/company/COROMANDEL/consolidated/
Dabur India Ltd.,DABUR,Fast Moving Consumer Goods,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/DABUR/consolidated/
Dalmia Bharat Ltd.,DALBHARAT,Construction Materials,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/DALBHARAT/consolidated/
Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/DIXON/consolidated/
Endurance Technologies Ltd.,ENDURANCE,Automobile and Auto Components,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/ENDURANCE/consolidated/
Escorts Kubota Ltd.,ESCORTS,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/ESCORTS/consolidated/
Exide Industries Ltd.,EXIDEIND,Automobile and Auto Components,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/EXIDEIND/consolidated/
FSN E-Commerce Ventures Ltd.,NYKAA,Consumer Services,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/NYKAA/consolidated/
Federal Bank Ltd.,FEDERALBNK,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/FEDERALBNK/consolidated/
Fortis Healthcare Ltd.,FORTIS,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/FORTIS/consolidated/
GE Vernova T&D India Ltd.,GVT&D,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/GVT&D/consolidated/
GMR Airports Ltd.,GMRAIRPORT,Services,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/GMRAIRPORT/consolidated/
General Insurance Corporation of India,GICRE,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/GICRE/consolidated/
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/GLAXO/consolidated/
Glenmark Pharmaceuticals Ltd.,GLENMARK,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/GLENMARK/consolidated/
Global Health Ltd.,MEDANTA,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/MEDANTA/consolidated/
Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/GODFRYPHLP/consolidated/
Godrej Industries Ltd.,GODREJIND,Diversified,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/GODREJIND/consolidated/
Godrej Properties Ltd.,GODREJPROP,Realty,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/GODREJPROP/consolidated/
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,Chemicals,NIFTY_MIDCAP_150,https://www.screener.in/company/FLUOROCHEM/consolidated/
HDB Financial Services Ltd.,HDBFS,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/HDBFS/consolidated/
Havells India Ltd.,HAVELLS,Consumer Durables,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/HAVELLS/consolidated/
Hero MotoCorp Ltd.,HEROMOTOCO,Automobile and Auto Components,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/HEROMOTOCO/consolidated/
Hexaware Technologies Ltd.,HEXT,Information Technology,IT,NIFTY_MIDCAP_150,https://www.screener.in/company/HEXT/consolidated/
Hindustan Petroleum Corporation Ltd.,HINDPETRO,Oil Gas & Consumable Fuels,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/HINDPETRO/consolidated/
Hitachi Energy India Ltd.,POWERINDIA,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/POWERINDIA/consolidated/
Honeywell Automation India Ltd.,HONAUT,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/HONAUT/consolidated/
Housing & Urban Development Corporation Ltd.,HUDCO,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/HUDCO/consolidated/
ICICI Lombard General Insurance Company Ltd.,ICICIGI,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/ICICIGI/consolidated/
ICICI Prudential Asset Management Company Ltd.,ICICIAMC,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/ICICIAMC/consolidated/
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/ICICIPRULI/consolidated/
IDFC First Bank Ltd.,IDFCFIRSTB,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/IDFCFIRSTB/consolidated/
ITC Hotels Ltd.,ITCHOTELS,Consumer Services,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/ITCHOTELS/consolidated/
Indian Bank,INDIANB,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/INDIANB/consolidated/
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Consumer Services,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/IRCTC/consolidated/
Indian Renewable Energy Development Agency Ltd.,IREDA,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/IREDA/consolidated/
Indus Towers Ltd.,INDUSTOWER,Telecommunication,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/INDUSTOWER/consolidated/
IndusInd Bank Ltd.,INDUSINDBK,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/INDUSINDBK/consolidated/
Info Edge (India) Ltd.,NAUKRI,Consumer Services,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/NAUKRI/consolidated/
Ipca Laboratories Ltd.,IPCALAB,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/IPCALAB/consolidated/
J.K. Cement Ltd.,JKCEMENT,Construction Materials,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/JKCEMENT/consolidated/
JSW Energy Ltd.,JSWENERGY,Power,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/JSWENERGY/consolidated/
JSW Infrastructure Ltd.,JSWINFRA,Services,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/JSWINFRA/consolidated/
Jindal Stainless Ltd.,JSL,Metals & Mining,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/JSL/consolidated/
Jubilant Foodworks Ltd.,JUBLFOOD,Consumer Services,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/JUBLFOOD/consolidated/
K.P.R. Mill Ltd.,KPRMILL,Textiles,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/KPRMILL/consolidated/
KEI Industries Ltd.,KEI,Capital Goods,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/KEI/consolidated/
KPIT Technologies Ltd.,KPITTECH,Information Technology,IT,NIFTY_MIDCAP_150,https://www.screener.in/company/KPITTECH/consolidated/
Kalyan Jewellers India Ltd.,KALYANKJIL,Consumer Durables,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/KALYANKJIL/consolidated/
L&T Finance Ltd.,LTF,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/LTF/consolidated/
L&T Technology Services Ltd.,LTTS,Information Technology,IT,NIFTY_MIDCAP_150,https://www.screener.in/company/LTTS/consolidated/
LG Electronics India Ltd.,LGEINDIA,Consumer Durables,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/LGEINDIA/consolidated/
LIC Housing Finance Ltd.,LICHSGFIN,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/LICHSGFIN/consolidated/
Laurus Labs Ltd.,LAURUSLABS,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/LAURUSLABS/consolidated/
Lenskart Solutions Ltd.,LENSKART,Consumer Services,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/LENSKART/consolidated/
Life Insurance Corporation of India,LICI,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/LICI/consolidated/
Linde India Ltd.,LINDEINDIA,Chemicals,Chemicals,NIFTY_MIDCAP_150,https://www.screener.in/company/LINDEINDIA/consolidated/
Lloyds Metals And Energy Ltd.,LLOYDSME,Metals & Mining,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/LLOYDSME/consolidated/
Lupin Ltd.,LUPIN,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/LUPIN/consolidated/
MRF Ltd.,MRF,Automobile and Auto Components,Manufacturing,NIFTY_MIDCAP_150,https://www.screener.in/company/MRF/consolidated/
Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/M&MFIN/consolidated/
Mankind Pharma Ltd.,MANKIND,Healthcare,Pharma,NIFTY_MIDCAP_150,https://www.screener.in/company/MANKIND/consolidated/
Marico Ltd.,MARICO,Fast Moving Consumer Goods,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/MARICO/consolidated/
Max Financial Services Ltd.,MFSL,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/MFSL/consolidated/
Motilal Oswal Financial Services Ltd.,MOTILALOFS,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/MOTILALOFS/consolidated/
MphasiS Ltd.,MPHASIS,Information Technology,IT,NIFTY_MIDCAP_150,https://www.screener.in/company/MPHASIS/consolidated/
Multi Commodity Exchange of India Ltd.,MCX,Financial Services,Banking,NIFTY_MIDCAP_150,https://www.screener.in/company/MCX/consolidated/
NHPC Ltd.,NHPC,Power,Other,NIFTY_MIDCAP_150,https://www.screener.in/company/NHPC/consolidated/
