Company Name,Quarter,Sector,Market Regime (Bull / Bear),Quarterly Stock Return (%),30-Day Post-Earnings Return (%),Stock P/E,P/B Ratio,EV/EBITDA,Dividend Yield (%),ROE (%),ROCE (%),OPM (%),Debt-to-Equity Ratio,Current Ratio,Interest Coverage Ratio,Sales Growth YoY (%),Net Profit Growth YoY (%),Beta (trailing),Market Cap (Cr),Actual EPS (Quarterly),Earnings Surprise Score (%),News Sentiment Score (-1 to +1),News Volume (articles per quarter)
360 ONE WAM Ltd,Dec 2023,Banking,Bull,42.62,-7.69,35.2,4.51,26.4,1.1,14.4,12.1,60.0,0.45,1.65,2.25,8.74,9.96,1.05,44465.0,5.36,8.7,0.67,29
360 ONE WAM Ltd,Dec 2024,Banking,Bear,23.74,-2.7,35.2,4.51,26.4,1.1,14.4,12.1,57.0,0.45,1.65,2.0,8.74,9.96,1.05,44465.0,7.12,32.84,0.88,32
360 ONE WAM Ltd,Dec 2025,Banking,Bull,15.39,-4.66,35.2,4.51,26.4,1.1,14.4,12.1,61.0,0.45,1.65,2.45,8.74,9.96,1.05,44465.0,8.08,13.48,0.72,32
360 ONE WAM Ltd,Jun 2023,Banking,Bull,8.9,6.28,35.2,4.51,26.4,1.1,14.4,12.1,62.0,0.45,1.65,2.82,8.74,9.96,1.05,44465.0,5.15,-36.26,-0.3,26
360 ONE WAM Ltd,Jun 2024,Banking,Bull,41.3,2.17,35.2,4.51,26.4,1.1,14.4,12.1,68.0,0.45,1.65,2.7,34.76,27.08,1.05,44465.0,6.72,30.49,0.88,27
360 ONE WAM Ltd,Jun 2025,Banking,Bull,35.32,0.61,35.2,4.51,26.4,1.1,14.4,12.1,62.0,0.45,1.65,2.47,16.79,3.26,1.05,44465.0,7.04,4.76,0.8,27
360 ONE WAM Ltd,Jun 2026,Banking,Bull,13.41,2.3,35.2,4.51,26.4,1.1,14.4,12.1,63.0,0.45,1.65,2.18,3.81,1.22,1.05,44465.0,8.13,15.48,0.7,23
360 ONE WAM Ltd,Mar 2024,Banking,Bull,-3.19,6.25,35.2,4.51,26.4,1.1,14.4,12.1,36.0,0.45,1.65,1.38,38.05,32.07,1.05,44465.0,6.76,-16.85,0.82,27
360 ONE WAM Ltd,Mar 2025,Banking,Bear,-26.17,12.19,35.2,4.51,26.4,1.1,14.4,12.1,56.0,0.45,1.65,2.11,-3.3,2.46,1.05,44465.0,6.35,-6.07,0.8,24
360 ONE WAM Ltd,Mar 2026,Banking,Bear,-19.5,0.27,35.2,4.51,26.4,1.1,14.4,12.1,59.0,0.45,1.65,2.12,22.39,1.4,1.05,44465.0,7.11,11.97,0.74,28
360 ONE WAM Ltd,Sep 2023,Banking,Bull,6.38,19.6,35.2,4.51,26.4,1.1,14.4,12.1,57.0,0.45,1.65,2.14,-55.14,-43.81,1.05,44465.0,5.2,-26.86,-0.03,33
360 ONE WAM Ltd,Sep 2024,Banking,Bull,7.11,13.22,35.2,4.51,26.4,1.1,14.4,12.1,63.0,0.45,1.65,2.33,9.36,0.82,1.05,44465.0,6.73,29.42,-0.05,27
360 ONE WAM Ltd,Sep 2025,Banking,Bear,-12.89,6.8,35.2,4.51,26.4,1.1,14.4,12.1,63.0,0.45,1.65,2.74,33.74,26.0,1.05,44465.0,7.79,15.75,0.36,29
3M India Ltd,Dec 2021,Other,Bear,2.0,33.09,60.3,17.16,45.22,0.49,30.5,40.5,12.0,0.35,1.65,7.03,4.82,1.82,1.05,36864.0,59.24,8.7,0.79,30
3M India Ltd,Dec 2022,Other,Bull,-6.41,-10.75,60.3,17.16,45.22,0.49,30.5,40.5,17.0,0.35,1.65,171.0,4.82,1.82,1.05,36864.0,110.79,87.02,0.88,28
3M India Ltd,Dec 2023,Other,Bull,18.91,6.41,60.3,17.16,45.22,0.49,30.5,40.5,18.0,0.35,1.65,179.0,4.82,1.82,1.05,36864.0,120.05,8.36,0.23,31
3M India Ltd,Jun 2021,Other,Bull,-17.81,7.81,60.3,17.16,45.22,0.49,30.5,40.5,6.0,0.35,1.65,48.0,4.82,1.82,1.05,36864.0,26.72,-77.74,0.6,24
3M India Ltd,Jun 2022,Other,Bear,9.42,1.83,60.3,17.16,45.22,0.49,30.5,40.5,12.0,0.35,1.65,116.0,14.29,25.37,1.05,36864.0,74.8,150.0,0.82,28
3M India Ltd,Jun 2023,Other,Bull,19.16,8.23,60.3,17.16,45.22,0.49,30.5,40.5,16.0,0.35,1.65,173.0,5.74,3.2,1.05,36864.0,114.7,53.34,0.88,24
3M India Ltd,Jun 2024,Other,Bull,20.54,-0.45,60.3,17.16,45.22,0.49,30.5,40.5,20.0,0.35,1.65,68.33,4.08,16.3,1.05,36864.0,139.5,21.62,0.75,32
